scorer,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500,DLC_resnet50_Video_TesteMar20shuffle1_18500
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
62,380.3952941894531,340.707275390625,0.9985881447792053,371.98016357421875,332.9555969238281,0.9986121654510498,358.117919921875,326.15692138671875,0.9992278814315796,350.66375732421875,326.77069091796875,0.9992852807044983
63,380.58978271484375,339.751708984375,0.9978147745132446,372.37060546875,333.1636962890625,0.9984948635101318,359.4628601074219,326.3608703613281,0.9985484480857849,350.0693359375,326.6073303222656,0.9987911581993103
64,380.174072265625,340.495849609375,0.9983385801315308,371.1904296875,332.1306457519531,0.9980047345161438,357.6734924316406,325.60015869140625,0.9993684887886047,350.9732360839844,327.15655517578125,0.999168872833252
65,380.37713623046875,339.8515625,0.9988957643508911,371.6231994628906,332.21099853515625,0.9988489151000977,359.01739501953125,325.7957458496094,0.9994170665740967,350.39825439453125,326.245361328125,0.9991757273674011
66,378.85986328125,341.5965576171875,0.9988970756530762,370.27337646484375,332.94610595703125,0.9984002709388733,358.34136962890625,326.7431640625,0.9993137121200562,352.11712646484375,327.663330078125,0.9992014765739441
67,379.8921203613281,340.18280029296875,0.9988178610801697,370.440673828125,331.87628173828125,0.9981929659843445,357.7875061035156,325.5841369628906,0.9995673298835754,351.577880859375,327.2453308105469,0.9992297887802124
68,379.6045837402344,340.8123779296875,0.9988592863082886,370.6907958984375,332.71368408203125,0.9987809062004089,358.7809753417969,326.7823181152344,0.9992339611053467,352.1392517089844,327.48236083984375,0.9989997744560242
69,379.81317138671875,339.3003234863281,0.9993628859519958,370.654296875,332.28155517578125,0.9988768696784973,357.88494873046875,325.810546875,0.9992941617965698,351.36309814453125,326.9884948730469,0.9990279674530029
70,380.5061950683594,339.1694030761719,0.9990984201431274,371.0091552734375,331.81170654296875,0.9985111355781555,357.58038330078125,325.7448425292969,0.9993745684623718,351.0166320800781,327.64324951171875,0.9992651343345642
71,380.6195373535156,338.6805114746094,0.9993027448654175,370.961669921875,331.9954528808594,0.9986870884895325,357.484375,326.0609130859375,0.9993757605552673,351.0101318359375,327.5451354980469,0.9993070363998413
72,380.8638000488281,338.67803955078125,0.9988288283348083,370.1600036621094,333.0314025878906,0.9989898800849915,358.5172424316406,327.76324462890625,0.9992415904998779,351.5077819824219,327.9835510253906,0.998701810836792
73,380.6149597167969,339.5344543457031,0.9989294409751892,370.9877624511719,332.8753356933594,0.99887615442276,357.1891174316406,326.90484619140625,0.9993351101875305,351.0029296875,327.6170349121094,0.9994274377822876
74,380.03900146484375,338.9761047363281,0.9991033673286438,371.1697082519531,332.2927551269531,0.9986245632171631,357.9093322753906,326.3854064941406,0.9991139769554138,351.0658874511719,327.01641845703125,0.9989155530929565
75,381.2315979003906,338.5057373046875,0.9992181062698364,370.9353942871094,332.1933288574219,0.998869001865387,356.99658203125,325.71142578125,0.9994914531707764,350.3692626953125,326.97003173828125,0.9993084669113159
76,381.7821044921875,338.50054931640625,0.9990382194519043,371.5830383300781,332.3836975097656,0.9986928105354309,357.9842224121094,327.2395324707031,0.9990736246109009,350.7060241699219,327.4765319824219,0.999176561832428
77,381.13525390625,338.1646728515625,0.9992964267730713,371.2704162597656,332.685546875,0.9990229606628418,358.5074462890625,327.33349609375,0.9991969466209412,351.341552734375,327.626953125,0.9992241859436035
78,380.9996032714844,338.0160217285156,0.9990476965904236,370.8319091796875,331.7305908203125,0.9983758926391602,357.11102294921875,325.4437255859375,0.9994484782218933,350.85528564453125,326.4184265136719,0.9993583559989929
79,380.9901428222656,339.439453125,0.9991812109947205,371.58355712890625,333.0371398925781,0.9988460540771484,358.0049743652344,326.6957092285156,0.9990474581718445,351.2637023925781,327.2862548828125,0.9992116689682007
80,381.0028076171875,338.3124084472656,0.9991808533668518,371.0543518066406,332.34564208984375,0.9988719820976257,357.3795471191406,326.9098205566406,0.9993113279342651,351.10894775390625,327.32861328125,0.9992087483406067
81,381.3141784667969,337.20233154296875,0.9983721375465393,370.5325622558594,331.8497009277344,0.9986251592636108,357.8211364746094,326.74176025390625,0.9992696642875671,351.2112731933594,327.6567077636719,0.9991583824157715
82,381.00787353515625,338.8661193847656,0.998936116695404,369.8155517578125,332.3997497558594,0.9978057742118835,357.0901794433594,327.0394287109375,0.9992862343788147,349.93218994140625,327.8569641113281,0.9991053938865662
83,380.44012451171875,338.25225830078125,0.9985564351081848,370.2623291015625,331.2229919433594,0.9974712133407593,357.4506530761719,325.6435546875,0.9994643330574036,351.04583740234375,327.5317077636719,0.9993353486061096
84,380.1242370605469,338.54620361328125,0.9988523721694946,369.622314453125,331.9620056152344,0.9984464049339294,357.8019714355469,326.68701171875,0.9994327425956726,351.535888671875,328.04754638671875,0.9990289211273193
85,381.8171081542969,337.5692443847656,0.9988454580307007,370.8138732910156,332.16943359375,0.9982125759124756,357.6317138671875,326.09027099609375,0.9994972944259644,352.003173828125,327.3658142089844,0.9993852376937866
86,381.50738525390625,338.23736572265625,0.9986743927001953,371.00408935546875,332.2523193359375,0.9978692531585693,358.05828857421875,325.7080078125,0.9992213249206543,351.5946960449219,327.3493347167969,0.9986165761947632
87,383.6236877441406,337.2666931152344,0.9975761771202087,372.4210510253906,333.16143798828125,0.997350811958313,358.37176513671875,326.06036376953125,0.9988440275192261,349.29962158203125,325.6075744628906,0.9986580610275269
88,381.8698425292969,339.06561279296875,0.9983243346214294,371.3455505371094,333.85284423828125,0.9983736276626587,357.9456787109375,326.4020690917969,0.9986312985420227,351.5810546875,327.52813720703125,0.9986215829849243
89,382.4067077636719,338.0805358886719,0.9983112812042236,371.8385314941406,333.3701477050781,0.9985222220420837,357.9020080566406,326.86077880859375,0.9988304972648621,349.9992980957031,328.2030029296875,0.9987418055534363
90,384.60479736328125,336.84649658203125,0.9978070855140686,371.32806396484375,333.0232238769531,0.9972847700119019,357.3216247558594,325.7304382324219,0.9988113641738892,350.001953125,327.6956481933594,0.9986633062362671
91,381.8630065917969,337.3399963378906,0.998420238494873,371.29339599609375,332.791748046875,0.997947633266449,356.7183837890625,326.10009765625,0.9990655779838562,350.4692077636719,328.3968811035156,0.9989859461784363
92,383.0525817871094,334.3702087402344,0.9969124794006348,370.5522766113281,332.159912109375,0.9965230226516724,357.43756103515625,327.24456787109375,0.9977900981903076,351.474609375,328.1426086425781,0.9984720349311829
93,384.0115661621094,332.2403869628906,0.998526930809021,371.23876953125,330.99169921875,0.9964612126350403,357.7633972167969,326.9529724121094,0.9985067248344421,351.13555908203125,328.0166931152344,0.9983578324317932
94,384.0419006347656,332.8965759277344,0.997590184211731,370.96490478515625,332.2752685546875,0.9970077872276306,358.2240295410156,327.8282775878906,0.9979274272918701,352.0307922363281,329.0249328613281,0.9981606602668762
95,383.1431884765625,331.30218505859375,0.9976702332496643,370.388916015625,331.55780029296875,0.9974936246871948,357.82904052734375,327.48468017578125,0.9985654950141907,351.16094970703125,328.779052734375,0.998145341873169
96,383.3258972167969,334.4700012207031,0.9971867203712463,370.8480529785156,333.5742492675781,0.99599289894104,360.92364501953125,331.4881286621094,0.9940635561943054,352.7033386230469,330.1197204589844,0.9960170388221741
97,384.58831787109375,329.6972961425781,0.9969843029975891,371.8153076171875,331.7081604003906,0.9963231086730957,361.01397705078125,331.5263366699219,0.9929186701774597,352.85498046875,331.47454833984375,0.9971080422401428
98,383.7177734375,327.7478942871094,0.9974722266197205,371.19500732421875,330.4366455078125,0.9947786331176758,358.8945617675781,331.1680603027344,0.9934927821159363,350.88983154296875,332.0259094238281,0.9963040351867676
99,384.69818115234375,326.5228576660156,0.9972968697547913,371.0033264160156,330.66748046875,0.9947963356971741,358.5016784667969,330.91680908203125,0.9945873022079468,351.0153503417969,332.0091247558594,0.9971187114715576
100,385.78338623046875,328.84503173828125,0.9982837438583374,372.2790832519531,330.8052062988281,0.9966697096824646,357.3760681152344,329.1692199707031,0.9951287508010864,351.12982177734375,331.1067810058594,0.9968584775924683
101,385.10748291015625,329.4712219238281,0.9974608421325684,372.11920166015625,330.903564453125,0.9941154718399048,359.149658203125,333.28466796875,0.9936408400535583,352.3277587890625,332.2969665527344,0.9969125986099243
102,385.1009826660156,328.30841064453125,0.9977728724479675,371.7838439941406,331.0969543457031,0.9952107071876526,359.8406982421875,331.3998718261719,0.9940763711929321,351.6140441894531,332.26678466796875,0.9965890645980835
103,386.37890625,330.1007080078125,0.9989839196205139,372.04364013671875,331.114990234375,0.9960214495658875,360.97198486328125,330.05780029296875,0.9924160242080688,352.5227966308594,330.28033447265625,0.9966307282447815
